Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/10  05:00:00,1140.85426128,97.4919360642,652.700410566,0.0,100.150657288,148.969399434,490.145890004,475.774776858,5.66466996096,8.70644318581
 01/10  06:00:00,1143.29086164,97.6445900304,653.436363883,0.0,100.150657288,149.894399434,773.556246411,742.000669299,14.1616749024,17.3939022096
 01/10  07:00:00,1365.63428421,98.2919859037,646.658037152,0.0,176.471037341,302.612436532,575.660436493,538.630334694,28.3233498048,8.70675199349
 01/10  08:00:00,1464.97860987,98.9962531174,633.756775313,0.0,243.2593065,310.10971186,567.509008696,498.71263855,42.4850247072,26.3113454394
 01/10  09:00:00,1491.03989782,99.6431327703,620.964856707,0.0,243.2593065,310.10971186,560.636172463,477.558233735,56.6466996096,26.4312391179
 01/10  10:00:00,1501.99414976,100.234053383,596.48428165,0.0,243.2593065,302.612436532,534.883494846,457.038616902,42.4850247072,35.3598532364
 01/10  11:00:00,1488.03607158,100.778462562,572.996951527,0.0,243.2593065,310.10971186,531.849711413,425.495060535,70.808374512,35.5462763662
 01/10  12:00:00,1479.58684872,101.425205228,562.040983698,0.0,243.2593065,310.10971186,503.24848689,396.823195131,70.808374512,35.6169172473
 01/10  13:00:00,1435.69657765,101.965625229,559.17413079,0.0,243.2593065,310.10971186,488.023009946,381.772162164,70.808374512,35.4424732703
 01/10  14:00:00,1469.45067906,102.204580661,559.340571869,0.0,243.2593065,302.612436532,466.238365515,373.971249093,56.6466996096,35.6204168123
 01/10  15:00:00,1469.79179476,102.69274624,559.2409576,0.0,243.2593065,302.612436532,437.626505971,359.578274295,42.4850247072,35.5632069696
 01/10  16:00:00,1468.60365545,103.348803405,557.335976107,0.0,243.2593065,302.612436532,444.356855323,352.210979223,56.6466996096,35.4991764912
 01/10  17:00:00,1481.8874228,103.9027735,563.804204455,0.0,243.2593065,310.10971186,474.508607538,354.225029585,84.9700494144,35.3135285378
 01/10  18:00:00,1489.58508057,104.375811349,567.376571255,0.0,243.2593065,310.10971186,460.787867699,358.322996524,84.9700494144,17.4948217604
 01/10  19:00:00,1244.81491149,97.4919360642,584.171446922,0.0,166.938926447,199.110933808,458.767906284,356.359646345,84.9700494144,17.4382105241
 01/10  20:00:00,1244.43109857,97.4919360642,591.669814946,0.0,166.938926447,191.61365848,430.757931244,365.382970023,56.6466996096,8.72826161166
 01/10  21:00:00,1113.63386728,97.4919360642,594.930739422,0.0,100.150657288,124.558693486,482.033896492,407.94596897,56.6466996096,17.4412279133
 01/10  22:00:00,1079.06278255,97.4919360642,600.084545908,0.0,100.150657288,124.558693486,477.256962436,417.37208653,42.4850247072,17.3998511989
 01/10  23:00:00,1016.79168717,97.4919360642,605.25994106,0.0,46.0930336215,124.558693486,475.491135374,438.46157616,28.3233498048,8.70620940948
 01/10  24:00:00,1017.91311218,97.4919360642,605.597206522,0.0,46.0930336215,124.558693486,475.643332283,444.088887623,14.1616749024,17.3927697583
 01/11  01:00:00,1009.62303408,97.4919360642,610.02988602,0.0,46.0930336215,113.312780494,465.555250882,451.184031949,5.66466996096,8.70654897219
 01/11  02:00:00,1013.14921381,97.4919360642,613.82437601,0.0,46.0930336215,113.312780494,480.870971036,457.812782054,5.66466996096,17.3935190203
 01/11  03:00:00,1009.13236977,97.4919360642,609.590046093,0.0,46.0930336215,113.312780494,476.783977375,462.412412312,5.66466996096,8.70689510197
 01/11  04:00:00,1007.33658061,97.4919360642,607.664157007,0.0,46.0930336215,113.312780494,489.470482982,466.411656031,5.66466996096,17.3941569899
 01/11  05:00:00,1097.60368466,97.4919360642,607.488486147,0.0,100.150657288,148.969399434,470.956640485,450.231691719,5.66466996096,15.0602788052
 01/11  06:00:00,1097.32191556,97.8707846372,605.431678074,0.0,100.150657288,149.894399434,695.109080507,669.908970864,14.1616749024,11.0384347407
 01/11  07:00:00,1328.66551402,99.09265056,606.781465126,0.0,176.471037341,302.612436532,545.222027521,499.505222489,28.3233498048,17.3934552267
 01/11  08:00:00,1438.42451698,100.762392543,603.00397686,0.0,243.2593065,310.10971186,516.644757571,456.611407208,42.4850247072,17.5483256556
 01/11  09:00:00,1462.07048536,101.730163133,587.527038511,0.0,243.2593065,310.10971186,501.364191025,418.283431765,56.6466996096,26.4340596509
 01/11  10:00:00,1476.52002235,102.426721081,566.762146809,0.0,243.2593065,302.612436532,470.356690808,392.508112891,42.4850247072,35.3635532096
 01/11  11:00:00,1473.86775999,102.947647873,555.428884464,0.0,243.2593065,310.10971186,473.818689975,367.459675626,70.808374512,35.5506398361
 01/11  12:00:00,1470.74879136,103.439410396,550.44389193,0.0,243.2593065,310.10971186,457.63104083,351.200685475,70.808374512,35.6219808433
 01/11  13:00:00,1425.49448545,103.978361289,546.111774292,0.0,243.2593065,310.10971186,446.43740705,340.182223472,70.808374512,35.4468090664
 01/11  14:00:00,1456.40986115,104.595893298,542.815259596,0.0,243.2593065,302.612436532,423.495919335,331.223711988,56.6466996096,35.6255077373
 01/11  15:00:00,1458.75671199,105.222394821,544.666572848,0.0,243.2593065,302.612436532,406.687853099,328.634530241,42.4850247072,35.5682981505
 01/11  16:00:00,1462.00053083,105.849848501,547.471790727,0.0,243.2593065,302.612436532,418.638000043,326.487385637,56.6466996096,35.5039147969
 01/11  17:00:00,1469.1453929,106.482446935,547.309088488,0.0,243.2593065,310.10971186,439.100216346,318.812840774,84.9700494144,35.3173261577
