Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/23  11:00:00,100.992461256,0.0,0.0,0.0,43.513341876,52.539744,13.5037421692,0.0,4.83426,8.66948216919
 09/23  12:00:00,100.099470839,0.0,0.0,0.0,43.513341876,52.539744,13.5037548192,0.0,4.83426,8.6694948192
 09/23  13:00:00,100.198095395,0.0,0.0,0.0,43.513341876,52.539744,13.4936966744,0.0,4.83426,8.65943667442
 09/23  14:00:00,100.244830844,0.0,0.0,0.0,43.513341876,52.539744,13.4947199582,0.0,4.83426,8.66045995815
 09/23  15:00:00,100.224337604,0.0,0.0,0.0,43.513341876,52.539744,13.4948702657,0.0,4.83426,8.66061026565
 09/23  16:00:00,100.00925812,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  17:00:00,99.9873977966,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  18:00:00,99.9762273376,0.0,0.0,0.0,43.513341876,52.539744,10.0273003719,0.0,4.83426,5.19304037193
 09/23  19:00:00,103.361344136,0.0,0.0,0.0,43.513341876,52.539744,8.2742244329,0.0,4.83426,3.4399644329
 09/23  20:00:00,118.223698205,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  21:00:00,118.005616536,0.0,0.0,0.0,43.513341876,52.539744,40.3087814581,0.0,4.83426,35.4745214581
 09/23  22:00:00,117.677970988,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  23:00:00,118.582832284,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  24:00:00,117.685655573,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  01:00:00,117.704939935,0.0,0.0,0.0,43.513341876,52.539744,13.4488951016,0.0,4.83426,8.61463510161
 09/24  02:00:00,117.678275036,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  03:00:00,117.618244027,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  04:00:00,118.010070012,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  05:00:00,117.95194391,0.0,0.0,0.0,43.513341876,52.539744,13.4488593879,0.0,4.83426,8.61459938791
 09/24  06:00:00,117.989286912,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  07:00:00,114.89396259,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  08:00:00,99.9604243667,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  09:00:00,100.060345213,0.0,0.0,0.0,43.513341876,52.539744,13.4579765401,0.0,4.83426,8.62371654011
 09/24  10:00:00,100.129880063,0.0,0.0,0.0,43.513341876,52.539744,22.3279571849,0.0,4.83426,17.4936971849
 09/24  11:00:00,100.993000089,0.0,0.0,0.0,43.513341876,52.539744,13.5040722989,0.0,4.83426,8.66981229893
 09/24  12:00:00,100.119390393,0.0,0.0,0.0,43.513341876,52.539744,13.5040884642,0.0,4.83426,8.66982846419
 09/24  13:00:00,100.210168763,0.0,0.0,0.0,43.513341876,52.539744,13.5041034151,0.0,4.83426,8.66984341508
 09/24  14:00:00,100.240887288,0.0,0.0,0.0,43.513341876,52.539744,13.4946209513,0.0,4.83426,8.66036095128
 09/24  15:00:00,100.214611562,0.0,0.0,0.0,43.513341876,52.539744,13.4947736802,0.0,4.83426,8.66051368016
 09/24  16:00:00,100.022709732,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  17:00:00,100.014778346,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  18:00:00,99.9805024927,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  19:00:00,103.360454331,0.0,0.0,0.0,43.513341876,52.539744,13.4490098181,0.0,4.83426,8.61474981809
 09/24  20:00:00,118.207061976,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  21:00:00,117.973977449,0.0,0.0,0.0,43.513341876,52.539744,40.3142618475,0.0,4.83426,35.4800018475
 09/24  22:00:00,117.640776016,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  23:00:00,118.562660841,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/24  24:00:00,117.65358292,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/25  01:00:00,117.645605017,0.0,0.0,0.0,43.513341876,52.539744,13.4579551942,0.0,4.83426,8.62369519416
 09/25  02:00:00,117.610095074,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/25  03:00:00,117.578781151,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/25  04:00:00,117.97804086,0.0,0.0,0.0,43.513341876,52.539744,13.4578791962,0.0,4.83426,8.62361919616
 09/25  05:00:00,117.952744088,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
