Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/04  05:00:00,136.794327322,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/04  06:00:00,177.738992536,25.382941973,11.5423327016,0.0,6.98738001645,14.1499734587,3.5225,0.0,3.5025,0.02
 06/04  07:00:00,191.891237899,25.382941973,8.33844582201,0.0,6.98738001645,14.1499734587,5.5752588578,0.908459396103,3.5025,1.1642994617
 06/04  08:00:00,229.105369529,25.382941973,9.4385337744,0.0,6.98738001645,14.1499734587,3.5225,0.0,3.5025,0.02
 06/04  09:00:00,214.627195423,25.382941973,10.433967571,0.0,6.98738001645,14.1499734587,3.5225,0.0,3.5025,0.02
 06/04  10:00:00,253.42668561,25.382941973,15.7700160701,0.0,27.9495200658,27.7759469175,8.16953410707,0.0,7.005,1.16453410707
 06/04  11:00:00,273.874103804,25.382941973,17.3266972768,0.0,27.9495200658,27.7759469175,8.16951984543,0.0,7.005,1.16451984543
 06/04  12:00:00,305.267298086,25.382941973,25.209171487,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 06/04  13:00:00,314.25778412,25.382941973,30.298087825,0.0,41.9242800987,36.8599292233,10.5046387875,0.0,9.34,1.16463878748
 06/04  14:00:00,313.118553683,25.382941973,35.2501872615,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 06/04  15:00:00,308.649333453,25.382941973,37.8255909909,0.0,41.9242800987,36.8599292233,10.5045300724,0.0,9.34,1.16453007241
 06/04  16:00:00,308.740868236,25.382941973,38.4618977007,0.0,41.9242800987,36.8599292233,10.5046187793,0.0,9.34,1.16461877929
 06/04  17:00:00,276.635887264,25.382941973,36.321928494,0.0,27.9495200658,27.7759469175,7.025,0.0,7.005,0.02
 06/04  18:00:00,270.362932425,25.382941973,28.9442050257,0.0,13.9747600329,18.6919646116,5.83445087459,0.0,4.67,1.16445087459
